id	chapter	japanese	full_english	glossary_references	notes
completion.00966254	castle_royal	王「さあ　大臣よ！　なにをしておるのじゃ<LF><TAB>早く　このお方を　わが妻のもとへ！	"King: ""Minister! What are you waiting for? Take our guest to my wife at once!"""	role.king,role.minister	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009662a4	castle_royal	王「なんと！　それは　ありがたい！<LF><TAB>さすがは　伝説のお方じゃ！	"King: ""Wonderful! Thank you! You truly are worthy of your legend!"""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009662e4	castle_royal	占いババ「お前さんの　奥方に　ぴったりの<LF><TAB>クスリを　もってきてあげたから<LF><TAB>早く　奥へ　案内しておくれ。	"Fortune-teller: ""I've brought just the medicine for your wife. Now take me to her."""	role.fortune_teller	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.0096634c	castle_royal	占いババ「ああ　説明はいいよ！<LF><TAB>この　トルネコさんから　事情は<LF><TAB>聞いたからね。	"Fortune-teller: ""No need to explain! Torneko here has told me all about it."""	torneko,role.fortune_teller	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.0096639c	castle_royal	王「いや　たいへん失礼を申した。<LF><TAB>私は　このグレートバレイナの<LF><TAB>現国王です。　実はその……	"King: ""Forgive my terrible manners. I am the present king of Great Baleina. The truth is..."""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009663f8	castle_royal	王「あなたの　その　お姿は<LF><TAB>まちがいなく　先代の王に聞く<LF><TAB>占い師どのと　お見うけします！	"King: ""Your appearance is unmistakable! You are the fortune-teller the last king spoke of!"""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00966454	castle_royal	王「おお！　こ　これは　申しわけない。<LF><TAB>心より　あなたを<LF><TAB>お待ちしておったというのに。	"King: ""Oh! F-forgive me! I've been waiting for you with all my heart!"""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009664ac	castle_royal	占いババ「なんだい　なんだい？<LF><TAB>山向こうから　はるばる　来てやりゃ<LF><TAB>お客のことは　おかまいなしかい！？	"Fortune-teller: ""What's all this? I come all the way over the mountains, and you ignore me?!"""	role.fortune_teller	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00966514	castle_royal	兵士長「あわわわわわ……。	"Captain: ""Oh-oh-oh-oh..."""	role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. Frightened stammer; not a substantive reply.
completion.00966530	castle_royal	王「兵士長という　責任ある立場ながら<LF><TAB>役目のとちゅうで　逃げ出したという<LF><TAB>ふとどき者が。	"King: ""A wretch who fled in the middle of his duty, despite being captain of the soldiers."""	role.captain,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.0096658c	castle_royal	王「そういえば　しばらく前に<LF><TAB>こんな者は　おったがのう……	"King: ""Come to think of it, there was a fellow here a while ago..."""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009665c8	castle_royal	王「うん？　……はて<LF><TAB>そなたは　誰だったかのう。<LF><TAB>とんと　おぼえがないが……	"King: ""Hmm? Who might you be? I don't recall you at all..."""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00966618	castle_royal	兵士長「わが　グレートバレイナ王さま。<LF><TAB>ながらく　出張しておりましたが<LF><TAB>ただ今　もどりました！	"Captain: ""Your Majesty, King of Great Baleina! I have returned from my long assignment!"""	role.captain,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00966a38	castle_royal	ロサ「あの　ばあさまのクスリ<LF><TAB>なんとなく　うさんくさいし……。	"Rosa: ""That old woman's medicine seems a bit fishy to me..."""	enemy_rosa	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00966a78	castle_royal	ロサ「さあ　早いとこ　王さまと<LF><TAB>王妃さまに会って　様子を<LF><TAB>見て来ないとな。	"Rosa: ""Come on, let's hurry and see how the king and queen are doing."""	enemy_rosa,role.king,role.queen	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00966ac4	castle_royal	ロサ「いつまで　寝てんだよ。<LF><TAB>もう　昼すぎだぜ。	"Rosa: ""How long are you gonna sleep? It's past noon!"""	enemy_rosa	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00966af8	castle_royal	イネス「さあ　王さまと<LF><TAB>王妃さまのところへ　行きましょう。	"Ines: ""Come on, let's go and see the king and queen."""	enemy_ines,role.king,role.queen	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00966b34	castle_royal	イネス「あら　トルネコさん　目が覚めた？<LF><TAB>もう　お昼すぎよ。	"Ines: ""Oh, Torneko! You're awake? It's already past noon."""	torneko,enemy_ines	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00966bfc	castle_royal	＊「ゆっくり　お休みでしたね。<LF><TAB>どうぞ　行ってらっしゃいまし。	"???: ""You had a good rest. Have a pleasant day."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00966c84	castle_royal	大臣「おかげさまで　王妃は<LF><TAB>すっかり元気を　とりもどされた様子。<LF><TAB>なんと　お礼を申していいやら。	"Minister: ""Thanks to you, the queen seems quite herself again. How can we ever thank you?"""	role.queen,role.minister	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00966ce8	castle_royal	大臣「これは　おはようございます。<LF><TAB>トルネコどの。	"Minister: ""Ah, good morning, Torneko."""	torneko,role.minister	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00966d94	castle_royal	兵士長「いや～　まいった　まいった。<LF><TAB>わっはっは！	"Captain: ""Well, what a night! Ha ha ha!"""	role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00966dc8	castle_royal	兵士長「私のひかえ室を　トルネコどのに<LF><TAB>お貸しするよう　王に言われたもので<LF><TAB>ゆうべは　徹夜ですよ。	"Captain: ""The king told me to lend you my quarters. I was up all night!"""	torneko,role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00966e2c	castle_royal	兵士長「おお　トルネコどの。<LF><TAB>昨日は　みっともないところを<LF><TAB>お見せしましたな。	"Captain: ""Ah, Torneko! You saw me at my worst yesterday."""	torneko,role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00966e8c	castle_royal	＊「王と　王妃は　この上の<LF><TAB>寝室に　おわします。<LF><TAB>ささ　奥の階段から　どうぞ。	"???: ""The king and queen are in their bedchamber upstairs. Please take the stairs at the back."""	role.queen	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00966ef4	castle_royal	＊「あとで　城門のところへ<LF><TAB>来てくださいとのことです。	"???: ""She asks that you meet her at the castle gate later."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00966f2c	castle_royal	＊「おはようございます！<LF><TAB>占い師のおばあさんは　外へ<LF><TAB>さんぽに　出られましたよ。	"???: ""Good morning! The old fortune-teller has gone out for a walk."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00967060	castle_royal	大臣「ともかく　王さまより<LF><TAB>お礼を　言いつかっておりますゆえ<LF><TAB>どうぞ　こちらへ！	"Minister: ""The king has asked me to convey his thanks. Please, come this way!"""	role.king,role.minister	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009670b4	castle_royal	大臣「おかげさまで　王妃が<LF><TAB>あのように　お元気になられて<LF><TAB>まるで　若がえったようじゃ。	"Minister: ""Thanks to you, the queen is so full of life. It's as though she's grown young again."""	role.queen,role.minister	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.0096710c	castle_royal	大臣「おお　トルネコどの！<LF><TAB>王と　話されましたかな？	"Minister: ""Ah, Torneko! Have you spoken to the king?"""	torneko,role.minister	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.0096761c	castle_royal	兵士長「ささ　こちらへ　どうぞ！	"Captain: ""Please, come this way!"""	role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00967640	castle_royal	兵士長「おお　ありがたい！　……いえ<LF><TAB>おめでたい！　では　さっそく<LF><TAB>じゅんびに　取りかかりましょう！	"Captain: ""Oh, what a relief! I mean, congratulations! Let us prepare at once!"""	role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009676a8	castle_royal	兵士長「そうそう　トルネコどの。<LF><TAB>あの別荘には　プールもありますし<LF><TAB>客足も　なかなかよいですぞ。	"Captain: ""And Torneko, the villa even has a pool. It gets a good flow of customers, too."""	torneko,role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.0096770c	castle_royal	兵士長「そんな……。　それでは<LF><TAB>私の　クビが……　いえ<LF><TAB>せっかくの　王の　お気もちが……	"Captain: ""But... I'll lose my job... I mean, His Majesty's generous offer..."""	role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00967768	castle_royal	兵士長「いかがでしょうか？<LF><TAB>わが　王の気もちを<LF><TAB>うけとっていただけますかな？	"Captain: ""What do you think? Will you accept His Majesty's gift?"""	role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009677b8	castle_royal	兵士長「トルネコどのが　開店なさるなら<LF><TAB>ぜひ　店員になりたいと<LF><TAB>希望している者も　おります。	"Captain: ""If you open a shop, there are people who would love to work for you."""	torneko,role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00967818	castle_royal	兵士長「もちろん　故郷の町にも　お店を<LF><TAB>お持ちでしょうから　こちらは<LF><TAB>別荘に　お使いいただければと……。	"Captain: ""Of course, you have a shop in your hometown. You could use this as a holiday home..."""	role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00967884	castle_royal	兵士長「以上です。　王は　トルネコどのの<LF><TAB>商人としてのウデを　見込まれて<LF><TAB>ぜひにと　おっしゃっております。	"Captain: ""That is all. His Majesty trusts your skill as a merchant and is most eager."""	torneko,role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009678f0	castle_royal	兵士長「港町コスタリベラにある　王所有の<LF><TAB>別荘を　商店営業許可権つきにて<LF><TAB>商人トルネコに　ゆずるものとする”	"Captain: ""...grants merchant Torneko his Costa Libera villa, with permission to run a shop.'"""	torneko,place.journey.00873188,role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. Second page of the formal royal grant; preserve business permission.
completion.00967960	castle_royal	兵士長「ええ～　ゴホン！<LF><TAB>“グレートバレイナ国　第３代国王は<LF><TAB>トルネコどのの　功績に　対し……	"Captain: ""Ahem! 'The third king of Great Baleina, in recognition of Torneko's service..."""	torneko,role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. First page of the formal royal grant; preserve third king.
completion.009679c0	castle_royal	兵士長「はっ！　かしこまりました。	"Captain: ""Yes, sire! Understood."""	role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009679e4	castle_royal	大臣「では　兵士長。<LF><TAB>よく　ご説明いたすのだぞ。	"Minister: ""Now, Captain. Explain everything to him properly."""	role.captain,role.minister	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00967b70	castle_royal	占いババが　仲間に　くわわった！	The fortune-teller joined the party!	role.fortune_teller	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00967b94	castle_royal	占いババ「じゃあ　さっそく<LF><TAB>出発しようじゃないか。	"Fortune-teller: ""Well then, let's be on our way."""	role.fortune_teller	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00967bc8	castle_royal	王「では　道中　お気をつけて。<LF><TAB>息子さんが回復したら　１日もはやく<LF><TAB>もどられるよう　祈っておりますぞ。	"King: ""Travel safely. I pray you will return soon, once your son has recovered."""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00967c30	castle_royal	王「南の島へ　行かれる前に<LF><TAB>別荘によって　様子を<LF><TAB>見ておくと　よいであろう。	"King: ""Before leaving for the southern island, you should have a look at the villa."""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00967c80	castle_royal	王「それから　選んでいただいた店員は<LF><TAB>さっそく　コスタリベラの別荘へ<LF><TAB>じゅんびに　向かわせてある。	"King: ""I've already sent your chosen shopkeeper to prepare the villa in Costa Libera."""	place.journey.00873188,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00967ce4	castle_royal	王「コスタリベラの港に　私の船を<LF><TAB>用意させてあるから　安心して<LF><TAB>お帰りくだされ。	"King: ""My ship awaits you at Costa Libera's harbor. You may return home with peace of mind."""	place.journey.00873188,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00967d38	castle_royal	王「息子さんのことが　心配だが<LF><TAB>占い師どのが　行ってくだされば<LF><TAB>きっと　元気になるにちがいない。	"King: ""I worry for your son, but with the fortune-teller going, he will surely recover."""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00967d9c	castle_royal	王「いや　このたびは　本当に<LF><TAB>世話になったのう　トルネコどの。	"King: ""You have done so much for us, Torneko. Thank you."""	torneko,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00967efc	castle_royal	王妃「玉座に　座った　あの人って<LF><TAB>いちだんと　りりしいわ。<LF><TAB>ポッ……。	"Queen: ""He looks even more dashing on his throne. Oh..."""	role.queen	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00967fac	castle_royal	大臣「おお　トルネコどの。<LF><TAB>いよいよ　ご出発ですかな。<LF><TAB>どうぞ　お気をつけて。	"Minister: ""Ah, Torneko. Setting off at last? Please take care."""	torneko,role.minister	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968014	castle_royal	＊「なんにしても<LF><TAB>うらやましいであります。	"???: ""Well, whatever the reason, I envy him."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00968040	castle_royal	＊「王妃さまって　あれほど　王さまに<LF><TAB>ぞっこん　だったっけかなあ？	"???: ""Was the queen always quite so smitten with the king?"""	role.king,role.queen	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.009680ac	castle_royal	＊「うつら　うつら……。	"???: ""...Zzz... Zzz..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. Drowsing; parallels earlier nodding-off source. Anonymous speaker remains ???.
completion.00968120	castle_royal	兵士長「ズゴ～　ズゴ～！	"Captain: ""Snooore... Snooore!"""	role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009683bc	castle_royal	トルネコは　ルーラを　となえた！	Torneko cast Zoom!	torneko,series_zoom	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009683e0	castle_royal	トルネコは　成長したポポロを<LF>見つめて　力強く　うなずくと<LF>旅のきおくを　たどりはじめた。	Torneko saw how much Tipper had matured. He nodded firmly and began to recall his travels.	torneko,enemy_tipper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. Growth in maturity; not an asserted time skip or adult age. Language review: Clarify emotional growth rather than implying an adult son.
completion.0096843c	castle_royal	王「おお　ありがたい！<LF><TAB>どうか　お気をつけて！	"King: ""Oh, thank you! Please take care!"""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.0096846c	castle_royal	王「しかし　そこを　なんとか！<LF><TAB>お留守の間　ネネどのは　責任をもって<LF><TAB>お守りします。信じてくださいますな？	"King: ""But please, reconsider! I promise to protect Tessie while you're away. Do you trust me?"""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009684d8	castle_royal	王「いや　お気になさらずとも<LF><TAB>けっこうですぞ。<LF><TAB>そう　おっしゃるのも当然じゃ。	"King: ""No, please don't worry. It is only natural for you to feel that way."""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968528	castle_royal	王「トルネコどのは　たしか<LF><TAB>ルーラの呪文を　ご存知でしたな。<LF><TAB>さっそく　出発してくださるか？	"King: ""Torneko, you know the Zoom spell, don't you? Will you leave at once?"""	torneko,role.king,series_zoom	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968588	castle_royal	王「トルネコどの　ポポロどの。<LF><TAB>占いババどのなら　邪悪な風穴への<LF><TAB>入り方も　ご存知かもしれぬ。	"King: ""Torneko, Tipper. The fortune-teller may know how to enter the Evil wind cave."""	torneko,enemy_tipper,interface.dungeon.017,role.king,role.fortune_teller	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009685e8	castle_royal	兵士長「はっ！　しょうちいたしました！<LF><TAB>私　この命にかけても　ネネどのを<LF><TAB>お守り申します！	"Captain: ""Yes, sire! Understood! I shall protect Tessie with my life!"""	role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968644	castle_royal	王「もちろん　コスタリベラの　ネネどのの<LF><TAB>もとには　その兵士長を　行かせて<LF><TAB>お留守を守るよう　申しつけよう。	"King: ""Of course, I shall send the captain to guard Tessie in Costa Libera while you're away."""	place.journey.00873188,role.captain,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009686b4	castle_royal	王「これは　まさに　神のおみちびき！<LF><TAB>かくなる上は　おふたりで<LF><TAB>占いババどのの家へ！	"King: ""This must be divine guidance! Now, both of you, go to the fortune-teller's house!"""	role.king,role.fortune_teller	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.0096870c	castle_royal	王「こうして　ポポロどのを　見るかぎり<LF><TAB>そう　思ってもよかろう？	"King: ""Looking at Tipper now, surely you must agree?"""	enemy_tipper,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968750	castle_royal	王「しかし　トルネコどの。　<LF><TAB>実に　心強い味方が<LF><TAB>できたではないか！	"King: ""But Torneko! You have gained a truly dependable ally!"""	torneko,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968798	castle_royal	王「そうか。　無事に　そなたのチカラで<LF><TAB>ここまで……。　いや　この国が<LF><TAB>こんな状態で　おどろいたであろう。	"King: ""I see. You came safely, all on your own... You must be shocked to find us in this state."""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968804	castle_royal	王「そなたが　ひとり旅で　トルネコどのの<LF><TAB>あとを　追っている　という話は<LF><TAB>トルネコどのから　聞いておった。	"King: ""Torneko told me you were following him on a journey of your own."""	torneko,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968870	castle_royal	王「さあ　ポポロどの！<LF><TAB>こちらへ　おいでなされ！	"King: ""Come, Tipper! Over here!"""	enemy_tipper,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009688a4	castle_royal	王「ふむ　間違いなかろう！<LF><TAB>トルネコどのが　待ちわびておった<LF><TAB>息子の　ポポロどの！	"King: ""Yes, there is no mistaking you! Tipper, the son Torneko has been waiting for!"""	torneko,enemy_tipper,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009688f8	castle_royal	王「そこに　いるのは　もしや……<LF><TAB>おお　そうじゃな？	"King: ""Could that be... Ah, it is you, isn't it?"""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968930	castle_royal	王「う～む　確かに　心配じゃな。<LF><TAB>こうなったら　いっこくも早く……<LF><TAB>……おや？	"King: ""Hmm, that is worrying. We must act as quickly as... Oh?"""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968980	castle_royal	王妃「どうか　トルネコどの　お願いです。<LF><TAB>私たちの恩人である　占いババさまを<LF><TAB>守ってあげてくださいまし。	"Queen: ""Please, Torneko. Protect the fortune-teller. She has done so much for us."""	torneko,role.queen,role.fortune_teller	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009689ec	castle_royal	王妃「あなた　私は　占いババさまのことも<LF><TAB>とても心配ですわ。　邪悪なキリのため<LF><TAB>病気になられてはいないかと……。	"Queen: ""Darling, I worry for the fortune-teller, too. What if the evil mist has made her ill?"""	role.queen,role.fortune_teller	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968a60	castle_royal	王「もしかしたら　北の　占いババどのが<LF><TAB>なにか　ご存知かもしれぬが……。	"King: ""Perhaps the fortune-teller to the north knows something..."""	role.king,role.fortune_teller	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968aac	castle_royal	王「それには　まず　北西に発生したという<LF><TAB>邪悪な風穴の　なぞを　解かなくては<LF><TAB>ならないだろう。	"King: ""First, we must solve the mystery of the Evil wind cave that appeared to the northwest."""	interface.dungeon.017,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968b0c	castle_royal	王「う～む。　そなたが　そこまで<LF><TAB>言ってくれるのを　止めはせんが……	"King: ""Hmm. If you are so determined, I will not stop you, but..."""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968b54	castle_royal	王「では　やはり　そなたが<LF><TAB>あの　ヘルジャスティスとかいう魔物と<LF><TAB>戦うと言うのだな？　トルネコどの。	"King: ""Then you still intend to fight that monster called Hell Justice, Torneko?"""	torneko,enemy_hell_justice,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968dcc	castle_royal	王「トルネコどのと　ポポロどのは<LF><TAB>わが　グレートバレイナの希望。<LF><TAB>信じて　待っておりますぞ！	"King: ""Torneko and Tipper, you are Great Baleina's hope. We shall await you with faith!"""	torneko,enemy_tipper,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968e2c	castle_royal	王「うん？　どうされたかな？<LF><TAB>なにやら　元気がないようだが。	"King: ""Hmm? What is wrong? You seem rather downhearted."""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968e6c	castle_royal	王「おお　ポポロどの<LF><TAB>よくぞもどられた！	"King: ""Ah, Tipper! Welcome back!"""	enemy_tipper,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968e98	castle_royal	王「トルネコどのと　ポポロどのは<LF><TAB>われらの　最後の希望。<LF><TAB>どうか　お願い申します！	"King: ""Torneko and Tipper are our last hope. Please, we beg you!"""	torneko,enemy_tipper,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968eec	castle_royal	王「城下町や　コスタリベラへも　兵士を<LF><TAB>配備しておるが　日ごとに　人びとも<LF><TAB>弱っていくようじゃ。	"King: ""Soldiers guard the castle town and Costa Libera, but the people grow weaker by the day."""	place.journey.00873188,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968f50	castle_royal	王「おお　よくぞ　もどられた！<LF><TAB>やはり　占いババどのは　邪悪な風穴の<LF><TAB>なぞを　ご存知でしたか。	"King: ""Welcome back! So the fortune-teller did know the secret of the Evil wind cave."""	interface.dungeon.017,role.king,role.fortune_teller	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00968fc8	castle_royal	王妃「心配ですわね。　いっこくも早く<LF><TAB>この　邪悪なキリが<LF><TAB>はれなければ……。	"Queen: ""How worrying. This evil mist must be cleared away as soon as possible..."""	role.queen	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00969018	castle_royal	王妃「まあ　占いババさまが<LF><TAB>ご病気に？	"Queen: ""Oh, the fortune-teller has fallen ill?"""	role.queen,role.fortune_teller	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00969058	castle_royal	大臣「どうも　単に　この国を　苦しめて<LF><TAB>楽しんでるとしか　思えん。	"Minister: ""It seems he simply enjoys tormenting this kingdom."""	role.minister	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.0096909c	castle_royal	大臣「しかし　ヘルジャスティスとは<LF><TAB>何が　目的なのでしょうな。	"Minister: ""But what could Hell Justice be after?"""	enemy_hell_justice,role.minister	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009690f4	castle_royal	＊「妻や子のためにも<LF><TAB>がんばらなくては。	"???: ""I must do my best, for my wife and children."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00969120	castle_royal	＊「私は　コスタリベラから<LF><TAB>兵士に　志願してきました。	"???: ""I've come from Costa Libera to volunteer as a soldier."""	place.journey.00873188	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00969168	castle_royal	＊「うつら　うつら……　はっ　いかん！<LF><TAB>ここのところ　夜通し<LF><TAB>警戒してるので　つい……。	"???: ""...Zzz... Ah! No sleeping! I've been keeping watch all night lately, so..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
