offset	chapter	english	notes
00968980	castle_royal	"Queen: ""Please, Torneko. Protect the fortune-teller. She has done so much for us."""	
009689EC	castle_royal	"Queen: ""Darling, I worry for the fortune-teller, too. What if the evil mist has made her ill?"""	
00968A60	castle_royal	"King: ""Perhaps the fortune-teller to the north knows something..."""	
00968AAC	castle_royal	"King: ""First, we must solve the mystery of the Evil wind cave that appeared to the northwest."""	
00968B0C	castle_royal	"King: ""Hmm. If you are so determined, I will not stop you, but..."""	
00968B54	castle_royal	"King: ""Then you still intend to fight that monster called Hell Justice, Torneko?"""	
00968DCC	castle_royal	"King: ""Torneko and Tipper, you are Great Baleina's hope. We shall await you with faith!"""	
00968E2C	castle_royal	"King: ""Hmm? What is wrong? You seem rather downhearted."""	
00968E6C	castle_royal	"King: ""Ah, Tipper! Welcome back!"""	
00968E98	castle_royal	"King: ""Torneko and Tipper are our last hope. Please, we beg you!"""	
00968EEC	castle_royal	"King: ""Soldiers guard the castle town and Costa Libera, but the people grow weaker by the day."""	
00968F50	castle_royal	"King: ""Welcome back! So the fortune-teller did know the secret of the Evil wind cave."""	
00968FC8	castle_royal	"Queen: ""How worrying. This evil mist must be cleared away as soon as possible..."""	
00969018	castle_royal	"Queen: ""Oh, the fortune-teller has fallen ill?"""	
00969058	castle_royal	"Minister: ""It seems he simply enjoys tormenting this kingdom."""	
0096909C	castle_royal	"Minister: ""But what could Hell Justice be after?"""	
009690F4	castle_royal	"???: ""I must do my best, for my wife and children."""	
00969120	castle_royal	"???: ""I've come from Costa Libera to volunteer as a soldier."""	
00969168	castle_royal	"???: ""...Zzz... Ah! No sleeping! I've been keeping watch all night lately, so..."""	
00969204	castle_royal	"???: ""Huh? It isn't? Oh, don't do that to me. Zzz..."""	
00969244	castle_royal	"???: ""Mmm... Is it time to change shifts already?"""	
00969314	castle_royal	"???: ""Good morning. Please take care on your travels."""	
0096934C	castle_royal	"???: ""Well then, rest well..."""	
00969370	castle_royal	"???: ""I see. Just let me know whenever you'd like to rest."""	
009693B8	castle_royal	"???: ""You must be tired from your hard journey. Would you like to rest here?"""	
0096954C	castle_royal	"King: ""Your wife Tessie is already waiting in the banquet hall below. Until later..."""	
009695B4	castle_royal	"King: ""While we prepare the celebration, please hear what everyone has to say."""	
00969608	castle_royal	"King: ""Everyone in the castle and town is eager to express their thanks."""	
00969664	castle_royal	"King: ""The whole kingdom will celebrate today. Please do join us."""	
009696AC	castle_royal	"King: ""Your brave deeds have saved our people. You have my heartfelt thanks."""	
00969708	castle_royal	"King: ""Torneko, Tipper! Welcome home, safe and sound!"""	
00969798	castle_royal	"Captain: ""I underestimated you both! You truly are our saviors!"""	
00969804	castle_royal	"Minister: ""Torneko, your family's deeds will be passed down through our kingdom's history."""	
0096985C	castle_royal	"Minister: ""Thank you so very much."""	
00969894	castle_royal	"???: ""You are true heroes! Thank you!"""	
009698F0	castle_royal	"???: ""But we're at peace. Surely a little nap won't hurt... Right?"""	
0096993C	castle_royal	"???: ""...Zzz... Oh! No! I've dozed off again..."""	
00969CEC	castle_royal	"King: ""...Now, let us go before all that fine food gets cold."""	
00969D34	castle_royal	"King: ""Yes... The sound of our people's happiness, perhaps."""	
00969D6C	castle_royal	"King: ""I've been hearing a curious sound for a while. How can I describe it...?"""	
00969DBC	castle_royal	"King: ""By the way, Torneko, can you hear it? There, that sound."""	
00969E00	castle_royal	"King: ""Come this way, Torneko and Tipper. You too, Tessie."""	
00969E54	castle_royal	"King: ""Let us skip the formal speeches and feast with everyone! To the banquet hall!"""	
00969EC0	castle_royal	"King: ""Now, let Great Baleina's celebration of peace begin!"""	
00969F0C	castle_royal	"King: ""Soldiers! Give the signal that the celebration has begun!"""	
00969F44	castle_royal	"King: ""Welcome, Tessie. This is a small token of our kingdom's thanks. Let us begin."""	
00969FA8	castle_royal	"King: ""Ah, Torneko and Tipper. Thank you for your patience."""	
0096A5B4	castle_royal	"Minister: ""Having nothing to worry about brings troubles of its own."""	
0096A5F8	castle_royal	"Minister: ""Peace is welcome, but the king still seems to be in a festive mood..."""	
0096A6D4	castle_royal	"???: ""All is well here!"""	
0096A704	castle_royal	"???: ""Oh, dear... It's time to change shifts, but the captain won't wake up."""	
0096A798	castle_royal	"Captain: ""Snooore... Mmm... What?! The long-shot Slime?! Grr..."""	Dreaming about an arena upset; 大穴 is a long-odds entrant, not a dungeon name.
00974CD0	castle_chambers	"???: ""Purrr..."""	Animal purring; unnamed source stays anonymous.
00974DA0	castle_chambers	"???: ""Oh, the queen is having nightmares... Poor thing."""	
00974DD8	castle_chambers	"Queen: ""Mmm... Oh, wrinkles on my face... Mmm..."""	
00974E1C	castle_chambers	"???: ""Oh, Your Majesty! What's wrong?"""	
00974E44	castle_chambers	"Queen: ""Mmm..."""	
00974E58	castle_chambers	"???: ""Shh! The queen is resting. Please leave her in peace."""	
009750F0	castle_chambers	"Queen: ""I love you, darling."""	
00975110	castle_chambers	"Queen: ""I feel like a young girl again. My heart races just from your gaze..."""	
0097516C	castle_chambers	"Queen: ""Oh, darling, even your voice is wonderful. I don't know what's come over me."""	
009751BC	castle_chambers	"King: ""What are you saying? You are the loveliest woman in the world, Sylvia..."""	Queen Sylvia is a different character from DQ XI Sylvando despite shared Japanese spelling.
00975218	castle_chambers	"???: ""Oh... How can you be so wonderful?"""	
00975488	castle_chambers	And the queen's face shines with a youthful radiance...	
009754C8	castle_chambers	She gazes at the king with glistening eyes, seemingly unaware of anyone else.	
00975534	castle_chambers	"???: ""But a potion of youth? Surely not. What medicine could it have been?"""	
0097559C	castle_chambers	"???: ""I'm so glad the fortune-teller has made the queen well again."""	
00975684	castle_chambers	"King: ""Well then, farewell..."""	
009756A0	castle_chambers	"King: ""I've told the staff about your rewards. Please accept them without hesitation."""	
00975700	castle_chambers	"King: ""Ah, Torneko. Forgive me, but I'm rather occupied at the moment."""	
009757CC	castle_chambers	"???: ""Please take care, all of you."""	
00975810	castle_chambers	"???: ""Meow..."""	
00975844	castle_chambers	"???: ""Neither the king nor the queen seems to rest these days. I hope they're all right..."""	
00975920	castle_chambers	"Queen: ""My husband and I will strive to protect this kingdom. Thank you so very much."""	
0097598C	castle_chambers	"Queen: ""Perhaps that evil being targeted us because my husband and I neglected our duties."""	
009759F4	castle_chambers	"Queen: ""I truly don't know how to thank you for all you've done..."""	
00975A6C	castle_chambers	"King: ""One day, when I give up the throne, I'd like to travel the world as you do, Torneko."""	
00975AC4	castle_chambers	"King: ""Ha ha ha! Peace is a wonderful thing, eh, $t?"""	
0097F13C	castle_kitchens	All sorts of seasonings are neatly arranged.	
0097F16C	castle_kitchens	$t examined the cupboard in front of him.	
0097F1AC	castle_kitchens	Various bottles stand in a row. They seem to contain cooking wine and oil.	
0097F248	castle_kitchens	"???: ""This is the castle treasury. I cannot open it without the king's permission."""	
0097F2CC	castle_kitchens	"???: ""Hey, ma'am! Is the food ready yet?"""	
0097F358	castle_kitchens	"???: ""I made the queen's favorite vegetable soup... But she probably won't touch it today, either."""	
0097F448	castle_kitchens	"???: ""Anyone would get sick without eating properly! ...You look healthy, though."""	
0097F4F4	castle_kitchens	"Prince: ""...By the way, you haven't forgotten, have you? You owe me a favor."""	
0097F548	castle_kitchens	"Prince: ""Oh, you're still here? Isn't your son in trouble? You'd better hurry to Costa Libera."""	
0097F620	castle_kitchens	"???: ""The queen should be well again, but she's lost her appetite. What's going on?"""	
0097F710	castle_kitchens	"???: ""The queen is so full of love for the king, there's no room for food. Lucky her!"""	
0097F760	castle_kitchens	"???: ""At his age, you'd think my husband would understand a woman's heart!"""	
0097F7B8	castle_kitchens	"Rudolph: ""Grr! Grrrr..."""	
0097F890	castle_kitchens	"???: ""The king has ordered us to give you the castle's treasure. Please, come in."""	
0097F8F0	castle_kitchens	"???: ""Huh? None of our soldiers passed on the message? ...I do apologize."""	
0097F958	castle_kitchens	"???: ""Ah, Torneko! We've been waiting for you!"""	
0097FA50	castle_kitchens	"???: ""The king has ordered us to give you the castle's treasure. Please help yourself."""	
0097FABC	castle_kitchens	"???: ""This is the castle treasury. Please help yourself."""	
0097FB8C	castle_kitchens	"???: ""Just when the queen gets better, this happens. What a mess..."""	
0097FC58	castle_kitchens	"???: ""It makes me so angry! What did we ever do? I'd like to fry those monsters!"""	
0097FCD0	castle_kitchens	"???: ""We'll follow your example, Torneko and Tipper, and strive to be better soldiers!"""	
0097FD80	castle_kitchens	"???: ""Hey, you helping out! Get that soup started! It won't be ready for the celebration!"""	
0097FE64	castle_kitchens	"???: ""How many years has it been since the castle felt this lively?"""	
0097FECC	castle_kitchens	"???: ""Right! The starter's ready, with plenty of caviar and foie gras! Put it on the plates!"""	
0097FF40	castle_kitchens	"???: ""I've never cooked anything this fancy. I don't know what to do! Oh, dear..."""	
0097FFA4	castle_kitchens	"???: ""They brought me in from the castle town to help prepare the celebration, but..."""	
0098002C	castle_kitchens	"???: ""After such a grand celebration, I feel rather empty. Maybe I'll make some noodles..."""	Ramen simplified to familiar food, without implying another game's recipe or item.
009800B8	castle_kitchens	"???: ""...Zzz... Zzz..."""	
0098C324	castle_gate	"Samson: ""Ah, I've come here again... However much I long for her, the queen is beyond my reach."""	
0098C384	castle_gate	"???: ""I'm Samson. A wretch who quit as a castle scholar because his hopeless dream hurt too much."""	
0098C3E8	castle_gate	"???: ""Ah, I've come here again... However much I long for her, the queen is beyond my reach."""	Same words as named Samson version; source anonymous prefix retained.
0098C48C	castle_gate	"???: ""Please wait a little longer for the captain to return from the port of Costa Libera."""	
0098C4F0	castle_gate	"???: ""I'm sorry, but the king has ordered us to let no one into the castle."""	
0098C638	castle_gate	"???: ""Oh, I see! Forgive me. Please, come in."""	
0098C690	castle_gate	"???: ""...Huh? You bring the king a message from the captain in Costa Libera?"""	
0098C6FC	castle_gate	"???: ""Thank you for your trouble. Please, go and see the king!"""	
0098C964	castle_gate	"Captain: ""Come, let us go! To the king of Great Baleina!"""	
0098C9A8	castle_gate	"Captain: ""What perfect timing! I'd returned expecting to lose my job, but..."""	
0098CA08	castle_gate	"Captain: ""And Torneko, whom I asked a favor of in Costa Libera!"""	
0098CA50	castle_gate	"Captain: ""Oh? Aren't you that famous old fortune-teller... I mean, esteemed fortune-teller?!"""	
0098CAB0	castle_gate	"Captain: ""Wah! You startled me! When did you..."""	
0098CAE0	castle_gate	"Captain: ""...Hmm?"""	
0098CC7C	castle_gate	"???: ""Ah, Torneko! Thank you for all your hard work!"""	
0098CD10	castle_gate	"Fortune-teller: ""Well... Let's get a good rest tonight and leave early tomorrow morning."""	
0098CD6C	castle_gate	"Fortune-teller: ""It'll take a little longer, but I'll go by ship."""	
0098CDAC	castle_gate	"Fortune-teller: ""Perhaps it's my age, but I don't get on well with Zoom."""	
0098CDEC	castle_gate	"Fortune-teller: ""And a ship in Costa Libera will take us to the southern island, eh?"""	
0098CE38	castle_gate	"Fortune-teller: ""Oh, finished the interviews? A villa as your reward! The king is a generous man."""	
0098CF08	castle_gate	"???: ""Oh, you're not the captain. Guarding the castle is rather dull in peacetime."""	
0098CF64	castle_gate	"???: ""Sir! All is well here!"""	
0098CFF4	castle_gate	"???: ""Ah, Torneko! Please take care!"""	
0098D09C	castle_gate	"???: ""Welcome back! Please, come through."""	
0098D0F4	castle_gate	"???: ""We're on high alert! Though there isn't much we can actually do..."""	
0098D170	castle_gate	"???: ""I can barely see where I'm stepping in this creepy mist."""	
0098D1B4	castle_gate	"???: ""Argh! I've stepped in dog poo!"""	
0098D248	castle_gate	"???: ""All is well here! But the thick mist makes rooftop patrols tough. Cough, cough..."""	
0098D2F4	castle_gate	"???: ""Ah, the fresh air! I'll make certain your deeds are recorded in our kingdom's history."""	
0098D378	castle_gate	"???: ""Before speaking to everyone in town, please let Tessie see you're back."""	
0098D3C4	castle_gate	"???: ""Oh, are you going into the castle town?"""	
0098D450	castle_gate	"???: ""I can't wait to see what delicious food they'll serve at the celebration."""	
0098D49C	castle_gate	"???: ""Ah, $t! Welcome to Great Baleina Castle."""	
0098D4EC	castle_gate	"???: ""I think that creepy mist gave me a cold..."""	
0098D524	castle_gate	"???: ""Ah... Ah... Achoo! Oh, pardon me."""	
0098D574	castle_gate	"???: ""Some of the dishes at the celebration weren't all that great, were they?"""	
0098D5F4	castle_gate	"???: ""I hear there are fewer shipwrecks now the sacred flame burns in the lighthouse far south."""	
009A4DB4	monster_lodge	"???: ""Hmm. Yes, you certainly have the sort of eyes monsters would trust..."""	
009A4DFC	monster_lodge	"???: ""Hmm? It seems you've made a monster your companion."""	
009A4E40	monster_lodge	"???: ""Right. I have some useful advice for you. Speak to my assistant."""	
009A4E84	monster_lodge	"???: ""Hmm? You have the sort of eyes monsters would trust."""	
009A4EC8	monster_lodge	"???: ""I am the monster elder, famous in a certain world."""	Preserve the allusion without identifying an unstated crossover world.
009A5064	monster_lodge	"Inatts: ""You look rather strong. I'm sure any monster would be happy to fight by your side."""	
009A50D0	monster_lodge	"Inatts: ""Oh, really? See you again, then."""	
009A50FC	monster_lodge	"Inatts: ""That's all I know. Good luck!"""	
009A5138	monster_lodge	"Inatts: ""To give a monster its tactics in a dungeon, stand beside it and give your orders."""	
009A51A0	monster_lodge	"Inatts: ""To choose which monsters to take on your adventure, speak to the monster elder."""	
009A5200	monster_lodge	"Inatts: ""But unless you both return alive, the monster keeps none of its new experience. Be careful!"""	Preserve permanent companion experience retention condition, not another game's rules.
009A5260	monster_lodge	"Inatts: ""Once a monster is truly your companion, it's all right if it falls in a dungeon."""	
009A52BC	monster_lodge	"Inatts: ""First, when a monster joins you in a dungeon, make sure you both return alive."""	
009A5314	monster_lodge	"Inatts: ""Right, let's go over the main points. Let's see..."""	
009A5344	monster_lodge	"Inatts: ""Well then, good luck!"""	
009A5368	monster_lodge	"Inatts: ""Did you understand? Shall I go over the main points?"""	
009A53AC	monster_lodge	"Inatts: ""Let's see... For example, Fight Wisely or No Abilities."""	Use the existing reviewed tactics labels verbatim.
009A5400	monster_lodge	"Inatts: ""You can give them tactics to guide how they fight."""	
009A5464	monster_lodge	"Inatts: ""While you're in a dungeon, stand beside a monster companion and talk to it..."""	
009A54B0	monster_lodge	"Inatts: ""Oh, one thing you mustn't forget is to give your monster companions orders."""	
009A5510	monster_lodge	"Inatts: ""Stop here and speak to the monster elder before setting out."""	
009A5560	monster_lodge	"Inatts: ""If you want to take along a monster staying here, or choose which ones to bring..."""	
009A55C8	monster_lodge	"Inatts: ""But unless you both return alive, the monster keeps none of its new experience. Be careful!"""	Same survival condition as 009A5200.
009A5624	monster_lodge	"Inatts: ""Even if it falls in a dungeon, it'll come back here. So don't worry."""	
009A5684	monster_lodge	"Inatts: ""Then it'll be ready to travel with you on your next adventure, too."""	
009A56D4	monster_lodge	"Inatts: ""But once you return together, that monster becomes your true companion."""	
009A5734	monster_lodge	"Inatts: ""Otherwise, it'll go back to its wild ways and leave you."""	
009A5790	monster_lodge	"Inatts: ""Do your best to make sure you both return alive."""	
009A57D4	monster_lodge	"Inatts: ""Okay! Listen carefully. When a monster joins you in a dungeon..."""	
009A5830	monster_lodge	"Inatts: ""Oh, hello. Would you like to hear more about monster companions?"""	
009A5884	monster_lodge	"Inatts: ""Would you like to hear more about monster companions?"""	
009A58C4	monster_lodge	"???: ""Hello. I'm Inatts, the monster elder's assistant."""	Source introduces the assistant under an anonymous speaker tag.
009A5958	medal_king	"???: ""Then I won't tell you."""	
009A5978	medal_king	"???: ""A Golden staff!"""	Reward name uses the existing reviewed item glossary.
009A5990	medal_king	"???: ""A Parrying ring, a Metal king sword, a Metal king shield, and..."""	Reward names use the existing reviewed item glossary.
009A59D8	medal_king	"???: ""Cannonballs, a Kamaitachi blade, an Extending staff, and..."""	Reward names use the existing reviewed item glossary; plural Cannonballs is ordinary prose inflection.
009A5A0C	medal_king	"???: ""The Medal King's rewards include things like... Let me see..."""	
009A5A58	medal_king	"???: ""Then I'll tell you something good."""	
009A5A80	medal_king	"???: ""Do you think I'm a bad Slime?"""	
009A5B10	medal_king	"???: ""I hope you earn lots of rewards, too."""	
009A5B50	medal_king	"???: ""Nonsense. We've lived here for decades."""	
009A5BA0	medal_king	"???: ""Huh? You say this castle wasn't here before?"""	
009A5BD0	medal_king	"???: ""Hello. This is the Medal King's castle."""	
009A6FBC	tipper_village	'Travelers' rest hut. Please come in.'	Sign text; retain separate quote treatment without inventing a named facility.
009A6FF0	tipper_village	$t read the sign.	
009A7010	tipper_village	But the sign is old, and the writing is hard to read.	
009A7048	tipper_village	It seems to say, 'Rest hut for travelers.'	
009A7228	tipper_village	"???: ""O heavens and earth! May the earth's protection be upon this traveler!"""	
009A73DC	tipper_village	"???: ""Oh, of course! Right, let's launch our boat!"""	
009A7410	tipper_village	"???: ""Hey! Stop daydreaming and get the little boat out!"""	
009A7448	tipper_village	"???: ""Hmm... Isn't that the crest of the king far to the north? Then Torneko must finally..."""	
009A74B0	tipper_village	"???: ""Oh? That's quite a ship. If a vessel like that is coming to our village..."""	
009A7508	tipper_village	"???: ""Hmm? What's that...?"""	
009A75D8	tipper_village	"???: ""Ah, Tipper. Another fine day, isn't it?"""	
009A762C	tipper_village	"???: ""Meow, meow, meow..."""	
009A7670	tipper_village	"???: ""I hear he collects strange things and calls himself a king."""	
009A76C0	tipper_village	"???: ""Some odd fellow seems to have settled on the island lately."""	
009A7704	tipper_village	"???: ""Take care if you're heading out, Tipper."""	
009A7748	tipper_village	"???: ""I wonder how your mother and the others are. Starting to miss them? Hee hee."""	
009A77D4	tipper_village	"???: ""And I know something else! Somewhere in the world, there's a place that looks after monsters!"""	
009A7838	tipper_village	"???: ""Aw... I want to explore a dungeon, too!"""	
009A78E4	tipper_village	"???: ""This is Barinabo, in the far south. The village is safe, but be careful outside."""	
009A7948	tipper_village	"???: ""Sorry, but please keep your monsters in the caves. You'll frighten everyone."""	
009A79B0	tipper_village	"???: ""This is Barinabo, in the far south. Oh, have you made some monster friends?"""	
009A7A3C	tipper_village	"???: ""There must be a god there, bringing forth the source of all living things."""	Unnamed deity; do not identify it as another named series god.
009A7A98	tipper_village	"???: ""Have you ever wondered where the far end of this sea leads?"""	
009A7AFC	tipper_village	"???: ""I hope you can reach your parents soon."""	
009A7B38	tipper_village	"???: ""It's good to see everyone in the village full of life again."""	
009A7B98	tipper_village	"???: ""Someone who checked the Shrine of the Gods saw a castle standing to the northwest."""	
009A7C00	tipper_village	"???: ""Maybe it's my imagination, but we're catching far more fish than before that storm."""	
009A7C80	tipper_village	"???: ""Don't worry. I'll teach you all about fishing."""	
009A7CB4	tipper_village	"???: ""Oh, you're keen, lad! You could stay in our village and train to be a man of the sea."""	
009A7D7C	tipper_village	"Rosa: ""Well, if there's anything about dungeons you don't understand, just ask me."""	
009A7DE0	tipper_village	"Rosa: ""I hear you've finally got permission to leave the village."""	
009A7E28	tipper_village	"Rosa: ""...There you go, acting tough again. You're a pretty endearing kid."""	
009A7E84	tipper_village	"Rosa: ""Huh? You entered a dungeon outside the village and even made a monster your friend?"""	
009A7EE0	tipper_village	"Rosa: ""Hey, Tipper! Thanks to you, I got to leave home and live here. Lucky me!"""	
009A7F94	tipper_village	"???: ""Huh? That storm long ago? Well... It was so long ago, I don't remember it myself."""	
009A8004	tipper_village	"???: ""If you need anything, the chief will always help you."""	
009A8044	tipper_village	"???: ""Oh, Tipper. What's wrong? You look worried."""	
009A80BC	tipper_village	"???: ""When you travel alone, sometimes it's hard to tell what's true and what's a lie."""	
009A8134	tipper_village	"???: ""I wonder how Torneko and Tessie are doing. I hope they're well..."""	
009A81E8	tipper_village	"???: ""Huh? What does 'true form' mean? Hmm... I don't know."""	
009A8230	tipper_village	"???: ""Pass the Shrine of the Gods' Gate of Truth, and one day you'll see the world's true form."""	
009A8294	tipper_village	"???: ""The Shrine of the Gods has a Gate of Truth... They say entering it reveals the world's true form."""	
009A82FC	tipper_village	"???: ""Hey! Want to hear what the grown-ups told me about this island?"""	
009A83AC	tipper_village	"???: ""This is Barinabo, in the far south. A lonely island surrounded by vast seas."""	
009A8438	tipper_village	"???: ""Put simply, our lives come from the same source. Even apart, our hearts are together."""	
009A84A8	tipper_village	"???: ""There must be a god there, bringing forth the source of all living things."""	Same theological statement as 009A7A3C, with a dialectal wording variant.
009A8558	tipper_village	"???: ""Perhaps the god was trying to tell you something from the very beginning."""	
009A85B8	tipper_village	"???: ""Your eyes are so honest and true..."""	
009A85F0	tipper_village	"???: ""But you mustn't give up. A path will surely open."""	
009A8638	tipper_village	"???: ""You've been separated from your parents, haven't you?"""	
009A86BC	tipper_village	"???: ""There's no way to reach another island."""	
009A86E8	tipper_village	"???: ""Sorry, but this boat can only take us fishing a little way offshore."""	
009A8730	tipper_village	"???: ""Right. All we can do with this boat is catch enough fish to get by each day."""	
009A8784	tipper_village	"???: ""Huh? You want to borrow this little boat?"""	
009A8820	tipper_village	"???: ""Well, in a storm like that, it would've been stranger if anyone else had survived."""	
009A8870	tipper_village	"???: ""Huh? Ines and Rosa's parents? Yes... Those poor two..."""	
009A88C0	tipper_village	"???: ""I'm sure Torneko's waiting and worrying about you right now."""	
009A8904	tipper_village	"???: ""Oh, lad! You're back safe and sound!"""	
009A8934	tipper_village	"???: ""Don't worry, lad. Your parents are all right. This island's god is watching over them."""	Speaker's reassurance; not confirmation of unseen events.
009A8988	tipper_village	"???: ""Rosa and Ines were heartbroken when their parents vanished in a great storm long ago..."""	
009A89E0	tipper_village	"???: ""You were meant to be following your father. Things have taken quite a turn."""	
009A8A58	tipper_village	"Rosa: ""Well, if there's anything about dungeons you don't understand, just ask me."""	
009A8ABC	tipper_village	"???: ""Hey, Tipper! Haven't seen you in a while. You're looking a bit cheekier!"""	
009B47CC	tipper_village	"???: ""With the village boat washed away, I'll have to show the youngsters my shore-net skills!"""	
009B4830	tipper_village	"???: ""I really thought the next world had come to fetch me this time! Ho ho ho!"""	
009B48A0	tipper_village	"???: ""Something at the edge of my memory troubles me, but at my age, I can't quite recall it."""	
009B4908	tipper_village	"???: ""If that storm wasn't the next world coming to fetch us, what on earth was it?"""	
009B4998	tipper_village	"???: ""I feel that what's happening to Tipper may be divine guidance, too."""	
009B49F0	tipper_village	"???: ""I wonder why Tipper decided to set out on his own."""	
009B4A4C	tipper_village	"???: ""What a brave decision Tipper has made. His father must be proud."""	
009C4AA8	tipper_awakening	"Chief: ""Well then, until later..."""	
009C4AC4	tipper_awakening	"Chief: ""The whole village will celebrate tonight. Please enjoy it with your family."""	
009C4B28	tipper_awakening	"Chief: ""Torneko, madam. I am so glad Tipper has awakened."""	
009C4B7C	tipper_awakening	"Chief: ""Oh, of course. Please come to my house."""	
009C4BB4	tipper_awakening	"Fortune-teller: ""Well now, I think I'll have a word with the chief."""	
009C4BF8	tipper_awakening	"Fortune-teller: ""Take your time remembering. For now, you must rest quietly."""	
009C4C58	tipper_awakening	"Tipper: ""Huh? I've been asleep all this time? I do seem to remember a dream..."""	
009C4CAC	tipper_awakening	"Tessie: ""We've been so terribly worried! You were asleep for months and months..."""	
009C4D04	tipper_awakening	"Tessie: ""Tipper!! Oh, thank goodness! You're awake!"""	
009C4D38	tipper_awakening	"Tipper: ""H-huh? Where am I? What happened to me?"""	
009C4D70	tipper_awakening	"Fortune-teller: ""Be it curse or spell upon this child, let all its power be swept away!"""	Unnamed incantation; not assigned an official spell identity.
009C4DD0	tipper_awakening	"Fortune-teller: ""Whoops! Oh, dear! That was the love potion from before!"""	Retain accidental use of the earlier potion and its story connection.
009C4E10	tipper_awakening	"Fortune-teller: ""Let's begin at once. There!"""	
009C4E40	tipper_awakening	"Fortune-teller: ""First, I'll sprinkle this powder over him, then strengthen its effect with magic."""	
009C4EA0	tipper_awakening	"Fortune-teller: ""Yes, it seems medicine alone won't wake him..."""	
009C4EF8	tipper_awakening	"Fortune-teller: ""...may have been clashing, keeping Tipper asleep."""	Continues the preceding page about the sealing spell and his resistance.
009C4F44	tipper_awakening	"Fortune-teller: ""My divination is unclear, but an evil sealing spell and Tipper's will to resist it..."""	
009C4FB0	tipper_awakening	"Fortune-teller: ""Like when the Demon King feared a hero and tried to seal away that hero's power..."""	Generic story title; no unstated series villain identity supplied.
009C500C	tipper_awakening	"Fortune-teller: ""Perhaps this boy has a special gift, different from Torneko's."""	
009C506C	tipper_awakening	"Fortune-teller: ""As if some evil will is trying to suppress the power hidden within Tipper..."""	
009C50CC	tipper_awakening	"Fortune-teller: ""Hmm... I sense something evil here. This is..."""	
009C5110	tipper_awakening	"Fortune-teller: ""Hmm, so this boy is Tipper. I see..."""	
009C53DC	tipper_awakening	"Ines: ""Don't worry. You'll reach your father, I'm sure. You are Torneko's son, after all."""	
009C5444	tipper_awakening	"Ines: ""Oh, hello. So you're finally going to hone your adventuring skills."""	
009C54A0	tipper_awakening	"Ines: ""I'd like to help, but I can't stay away from the village for long... I'm sorry."""	
009C5500	tipper_awakening	"Ines: ""Oh, hello. You're already exploring dungeons, then."""	
009C5568	tipper_awakening	"Ines: ""Or does some evil being still have its sights on this world...?"""	
009C55C4	tipper_awakening	"Ines: ""It's as if the Gate of Truth in the Shrine of the Gods is calling to you."""	
009C5618	tipper_awakening	"Ines: ""The path Torneko took has been closed off..."""	
009C5684	tipper_awakening	"???: ""It's as though villagers were living here until just recently."""	
009C56C0	tipper_awakening	"???: ""I'm surprised to find such a fine inn in a village this remote."""	
009D7324	tipper_departure	"Chief: ""Take care out there. Even a small cave is no place to let down your guard."""	
009D737C	tipper_departure	"Chief: ""There is no need to follow Torneko's route until we've seen what you can do."""	
009D73DC	tipper_departure	"Chief: ""In the caves around the village, some monsters may be drawn to that power."""	
009D7434	tipper_departure	"Chief: ""The fortune-teller's medicine may bring out your special power."""	
009D7484	tipper_departure	"Chief: ""First, explore this island and hone your skills in some shallow dungeons."""	
009D74D8	tipper_departure	"Chief: ""Your parents entrusted you to my care. I cannot let you set out so lightly."""	
009D7544	tipper_departure	"Chief: ""You must be bored staying in the village, but I made a promise to your parents."""	
009D759C	tipper_departure	"Chief: ""Hmm... Actually, I think it may be time to let you venture outside."""	
009D75FC	tipper_departure	"Chief: ""It has been three days since your parents and the fortune-teller left. Settling in?"""	
009D765C	tipper_departure	"Chief: ""Tipper, are you awake? Come, sit down."""	
009D77FC	tipper_departure	"???: ""Oh, will you help me? You're such a kind boy, Tipper."""	
009D7844	tipper_departure	"???: ""Oh, but your bag seems to be full. Come back later."""	
009D7898	tipper_departure	"???: ""Here, take some freshly baked Bread with you."""	Existing item name retained; no new bread variant introduced.
009D78C8	tipper_departure	"???: ""I'm so glad you've come to stay, Tipper."""	
009D7964	tipper_departure	"Chief: ""I'll tell the Shrine of the Gods' keeper to open the entrance. Take care out there."""	
009D79C8	tipper_departure	"Chief: ""Perhaps it is time for you to follow Torneko. Hmm..."""	
009D7A18	tipper_departure	"Chief: ""Whatever the reason, I'm glad you have a reliable companion."""	
009D7A68	tipper_departure	"Chief: ""The medicine the fortune-teller put on you by mistake may play a part, too. Ho ho ho!"""	
009D7ACC	tipper_departure	"Chief: ""I see. A heart so pure it can reform even monsters. So that is your gift."""	
009D7B20	tipper_departure	"Chief: ""Yes. The fortune-teller said some special power dwells within you..."""	
009D7B7C	tipper_departure	"Chief: ""Hmm... A monster in a dungeon became your companion, you say?"""	
009D7BC8	tipper_departure	"Chief: ""Oh, Tipper, you're back. Hmm? What is it? You look as if you have something to say."""	
009D7D08	tipper_departure	"Chief: ""Torneko has traveled that path, but you must still be careful. Take care out there."""	
009D7D60	tipper_departure	"Chief: ""Ah, Tipper, you're back. You're starting to look quite dependable."""	
009D808C	tipper_departure	"Chief: ""You are the first from Barinabo to open the Gate of Truth."""	
009D80E8	tipper_departure	"Chief: ""But please, stay strong and see your journey through."""	
009D8128	tipper_departure	"Chief: ""Many things must not go as you wish. You have surely felt frustrated at times."""	
