offset	japanese	english	references	notes
0x0087220C	サムソン「おお　$tさま<LF><TAB>お帰りなさいませ！<LF><LF>サムソン「実は　お店を開いて　すぐに<LF><TAB>王さまが　いくつかの売り物を<LF><TAB>ていきょうして　下さっていました。<LF>サムソン「その品物は　すべて　売り切れ<LF><TAB>これが　その売上金です。<LF><TAB>どうぞ　お受け取りください。	"Samson: ""Welcome back, $t! Shortly after we opened the shop, the King supplied us with some stock. We've sold it all, and here are the proceeds. Please accept them!"""	role.king,character.samson,torneko,enemy_tipper	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x0087234C	やめる	Cancel		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872354	売る	Sell		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x0087235C	買う	Buy		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872364	なにをお買いもとめですか？	What would you like to buy?		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872380	＊「ここは鍛冶屋だ…。	"???: ""This is the blacksmith's..."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872398	＊「ちょっと疲れちまってきたえることが<LF><TAB>出来そうに無いぜ。<LF><TAB>悪いがまたあとで　きてくれ。	"???: ""I'm worn out. Can't improve any equipment right now. Sorry, but come back later."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008723F4	＊「ここは装備をきたえることができる<LF><TAB>鍛冶屋だ。<LF><TAB>なにか　きたえていくかい？	"???: ""This is the blacksmith's. I can improve your equipment. Want anything worked on?"""	interface.action.027	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872444	＊「なんだ。やめておくのか。<LF><TAB>ほかの装備　きたえるのか？	"???: ""Changed your mind? Want me to work on something else?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872480	どれ？	Which one?		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872488	＊「きたえられるようなアイテム<LF><TAB>なにも持ってないじゃねえか。	"???: ""You haven't got any equipment I can improve!"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008724C8	＊「持ってきたときにはしっかりと<LF><TAB>きたえてやるからよ。	"???: ""Bring some along, and I'll do a proper job on it."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872500	＊「どれをきたえるんだい？	"???: ""What do you want improved?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x0087251C	＊「……と　思ったが　そいつは<LF><TAB>もう十分　きたえられてるようだぜ。<LF><TAB>ほかのものに　してくれねえか。	"???: ""...Hang on. That one's already been improved as much as it can. Pick something else, will you?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872580	＊「%sだな。<LF><TAB>こいつをきたえるには<LF><TAB>%dゴールド必要だ。それでもいいか？	"???: ""%s, eh? Improving that will cost %d gold. Still interested?"""	combined_item_341	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008725C8	＊「金がたらねえのか。<LF><TAB>それじゃあ　きたえてやることはできねえな。<LF><TAB>しっかり金ためてから　またきてくれよな。	"???: ""Not enough gold? Then I can't do the work. Save up and come back!"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872638	＊「よっしゃ。<LF><TAB>すこしそこでまっててくれ。	"???: ""Right! Wait there a moment."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872664	＊「またきてくれよな。	"???: ""Come back again!"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x0087267C	＊「調子が良くていつもより<LF><TAB>イイ出来だぜ。<LF><TAB>あんた　ついてるなあ。	"???: ""I'm on form today! Turned out better than usual. It's your lucky day!"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008726C0	＊「ほらよ。<LF><TAB>きっちり仕上がったぜ。	"???: ""Here you go. Finished the job properly!"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008726E8	$tは<LF>%sを受け取った。	$t received %s.	torneko,enemy_tipper	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872700	＊「まず合成する元になるものを<LF><TAB>きめるのじゃ。	"???: ""First, choose the base item for synthesis."""	synthesis	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872730	合成できるアイテムがありません。	You have no items that can be synthesized.		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872754	＊「ふむ。<LF><TAB>元にするのは<LF><TAB>%sでよいのじゃな。	"???: ""Hmm. You wish to use %s as the base, then?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872784	＊「%sに合成するものを<LF><TAB>えらぶのじゃ。	"???: ""Choose an item to synthesize with %s."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008727AC	＊「合成するもんは<LF><TAB>%sなんじゃな。	"???: ""So, %s is the item you wish to add?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008727D0	＊「かくにんじゃ。	"???: ""Let us make sure."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008727E4	＊「%sを元にして<LF><TAB>%sを合成して<LF><TAB>よいのじゃな？	"???: ""Use %s as the base and add %s?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872814	＊「この合成には%dゴールド<LF><TAB>かかるがよいのか？	"???: ""This synthesis will cost %d gold. Is that acceptable?"""	synthesis,combined_item_341	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872844	＊「お金がたりんじゃないか！<LF><TAB>そんなことをやっておると<LF><TAB>わしの気がかわるかもしれんぞ！	"???: ""You haven't enough gold! Keep this up, and I might change my mind!"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x0087289C	＊「わかった。<LF><TAB>ちょっと待っておれ。	"???: ""Very well. Wait a moment."""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008728C4	＊「ふぃ～。できたぞい。<LF><TAB>%sじゃ。<LF><TAB>ありがたくうけとるがよいぞ。	"???: ""Phew! All done. Here is %s. You're welcome!"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872908	メダル王「よくぞ来た！<LF><TAB>わしは　世界中にちらばるという<LF><TAB>ちいさなメダルを　集めておる。	"Medal King: ""Welcome! I collect the mini medals said to be scattered all over the world."""	combined_item_344,role.medal_king,role.king	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872960	メダル王「ほほう　メダルを持ってきたな。<LF><TAB>では　わしが　あずかろう。	"Medal King: ""Aha! You have brought some medals. I shall look after those."""	role.medal_king,role.king	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008729A8	メダル王「もし　メダルを　持ってきたら<LF><TAB>そなたに　ほうびを　とらせよう。	"Medal King: ""Bring me some medals, and I shall reward you."""	role.medal_king,role.king	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008729F4	なにを交換しますか？	What would you like to exchange?		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872A0C	交換	Exchange		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872A14	メダル王「他になにか<LF><TAB>メダルと　交換したい品は<LF><TAB>あるかね？	"Medal King: ""Is there another item you wish to exchange your medals for?"""	role.medal_king,role.king	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872A50	$tは<LF>%sを　うけとった！	$t received %s!	torneko,enemy_tipper	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872A68	メダル王「他にもなにか<LF><TAB>メダルと　交換するかな？	"Medal King: ""Would you like to exchange any more medals?"""	role.medal_king,role.king	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00872A9C	$tは　%dゴールドを<LF>受け取った！	$t received %d gold!	combined_item_341,torneko,enemy_tipper	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
